"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","STINT","TOT","PC_PA","Q","2001-Q1",3.39111,
"CHE","STINT","TOT","PC_PA","Q","2001-Q2",3.205557,
"CHE","STINT","TOT","PC_PA","Q","2001-Q3",2.876667,
"CHE","STINT","TOT","PC_PA","Q","2001-Q4",1.97722,
"CHE","STINT","TOT","PC_PA","Q","2002-Q1",1.69,
"CHE","STINT","TOT","PC_PA","Q","2002-Q2",1.348333,
"CHE","STINT","TOT","PC_PA","Q","2002-Q3",0.77389,
"CHE","STINT","TOT","PC_PA","Q","2002-Q4",0.7016667,
"CHE","STINT","TOT","PC_PA","Q","2003-Q1",0.49611,
"CHE","STINT","TOT","PC_PA","Q","2003-Q2",0.2927767,
"CHE","STINT","TOT","PC_PA","Q","2003-Q3",0.26917,
"CHE","STINT","TOT","PC_PA","Q","2003-Q4",0.2586133,
"CHE","STINT","TOT","PC_PA","Q","2004-Q1",0.2516667,
"CHE","STINT","TOT","PC_PA","Q","2004-Q2",0.3433333,
"CHE","STINT","TOT","PC_PA","Q","2004-Q3",0.6166667,
"CHE","STINT","TOT","PC_PA","Q","2004-Q4",0.72778,
"CHE","STINT","TOT","PC_PA","Q","2005-Q1",0.76111,
"CHE","STINT","TOT","PC_PA","Q","2005-Q2",0.7527767,
"CHE","STINT","TOT","PC_PA","Q","2005-Q3",0.7683333,
"CHE","STINT","TOT","PC_PA","Q","2005-Q4",0.9566666,
"CHE","STINT","TOT","PC_PA","Q","2006-Q1",1.149723,
"CHE","STINT","TOT","PC_PA","Q","2006-Q2",1.427777,
"CHE","STINT","TOT","PC_PA","Q","2006-Q3",1.680277,
"CHE","STINT","TOT","PC_PA","Q","2006-Q4",1.970833,
"CHE","STINT","TOT","PC_PA","Q","2007-Q1",2.235,
"CHE","STINT","TOT","PC_PA","Q","2007-Q2",2.506667,
"CHE","STINT","TOT","PC_PA","Q","2007-Q3",2.79639,
"CHE","STINT","TOT","PC_PA","Q","2007-Q4",2.751667,
"CHE","STINT","TOT","PC_PA","Q","2008-Q1",2.778333,
"CHE","STINT","TOT","PC_PA","Q","2008-Q2",2.791943,
"CHE","STINT","TOT","PC_PA","Q","2008-Q3",2.81861,
"CHE","STINT","TOT","PC_PA","Q","2008-Q4",1.545,
"CHE","STINT","TOT","PC_PA","Q","2009-Q1",0.475,
"CHE","STINT","TOT","PC_PA","Q","2009-Q2",0.3988867,
"CHE","STINT","TOT","PC_PA","Q","2009-Q3",0.3216667,
"CHE","STINT","TOT","PC_PA","Q","2009-Q4",0.2545,
"CHE","STINT","TOT","PC_PA","Q","2010-Q1",0.24889,
"CHE","STINT","TOT","PC_PA","Q","2010-Q2",0.1552767,
"CHE","STINT","TOT","PC_PA","Q","2010-Q3",0.1716667,
"CHE","STINT","TOT","PC_PA","Q","2010-Q4",0.17,
"CHE","STINT","TOT","PC_PA","Q","2011-Q1",0.1733333,
"CHE","STINT","TOT","PC_PA","Q","2011-Q2",0.17861,
"CHE","STINT","TOT","PC_PA","Q","2011-Q3",0.06777667,
"CHE","STINT","TOT","PC_PA","Q","2011-Q4",0.04889,
"CHE","STINT","TOT","PC_PA","Q","2012-Q1",0.08889,
"CHE","STINT","TOT","PC_PA","Q","2012-Q2",0.09872334,
"CHE","STINT","TOT","PC_PA","Q","2012-Q3",0.05,
"CHE","STINT","TOT","PC_PA","Q","2012-Q4",0.02466667,
"CHE","STINT","TOT","PC_PA","Q","2013-Q1",0.022,
"CHE","STINT","TOT","PC_PA","Q","2013-Q2",0.01833333,
"CHE","STINT","TOT","PC_PA","Q","2013-Q3",0.01933333,
"CHE","STINT","TOT","PC_PA","Q","2013-Q4",0.019,
"CHE","STINT","TOT","PC_PA","Q","2014-Q1",0.02066667,
"CHE","STINT","TOT","PC_PA","Q","2014-Q2",0.01233333,
"CHE","STINT","TOT","PC_PA","Q","2014-Q3",0.014,
"CHE","STINT","TOT","PC_PA","Q","2014-Q4",-0.01566667,
"CHE","STINT","TOT","PC_PA","Q","2015-Q1",-0.8393334,
"CHE","STINT","TOT","PC_PA","Q","2015-Q2",-0.7903333,
"CHE","STINT","TOT","PC_PA","Q","2015-Q3",-0.732,
"CHE","STINT","TOT","PC_PA","Q","2015-Q4",-0.7733333,
